Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
48,0.004000,0.398307,0.683325,2.102086,2.395325,222.240627,144.685360,0.039607,0.048514,0.082123,0.086707,6.579906,6.742437,0.000351,0.000440,0.000771,0.000813,0.065761,0.067498,0.001780,0.001928
49,0.004000,0.398661,0.683435,1.962897,3.253691,181.336671,142.905957,0.039517,0.047721,0.081700,0.088711,6.479583,7.188089,0.000350,0.000433,0.000766,0.000828,0.064766,0.071969,0.001765,0.001980
50,0.004000,0.397741,0.688680,1.848189,3.203153,193.587597,141.191963,0.039180,0.050645,0.080083,0.092120,6.489445,7.129823,0.000347,0.000461,0.000750,0.000861,0.064856,0.071383,0.001745,0.002036
51,0.004000,0.397035,0.682931,2.000444,1.538102,178.513709,158.967280,0.038804,0.050106,0.080626,0.086545,6.382086,6.747947,0.000343,0.000456,0.000755,0.000817,0.063787,0.067559,0.001737,0.001949
52,0.004000,0.398328,0.684272,1.853314,3.606383,207.496683,133.742181,0.039151,0.046275,0.079850,0.086805,6.546878,6.537685,0.000347,0.000419,0.000748,0.000808,0.065427,0.065462,0.001749,0.001881
53,0.004000,0.403038,0.682612,2.479214,1.572754,210.379109,144.330777,0.038862,0.050173,0.081041,0.086347,6.456606,6.646427,0.000344,0.000456,0.000763,0.000815,0.064535,0.066551,0.001752,0.001937
54,0.004000,0.399683,0.686768,2.010113,3.477592,176.997721,162.045117,0.038439,0.048378,0.079405,0.087545,6.325931,6.981372,0.000340,0.000439,0.000743,0.000813,0.063228,0.069888,0.001715,0.001950
55,0.004000,0.399610,0.683484,2.138485,3.421663,196.987582,139.938256,0.038253,0.046609,0.079090,0.085990,6.342891,6.667004,0.000338,0.000422,0.000741,0.000799,0.063389,0.066764,0.001713,0.001889
56,0.004000,0.397622,0.687044,1.901838,5.122716,174.228798,155.224056,0.037756,0.047853,0.077890,0.091828,6.287719,6.822228,0.000333,0.000434,0.000728,0.000848,0.062845,0.068296,0.001689,0.001965
57,0.004000,0.397343,0.679519,2.166809,1.399476,184.815113,145.418306,0.037443,0.046109,0.079359,0.082583,6.271662,6.727417,0.000330,0.000416,0.000745,0.000777,0.062679,0.067347,0.001702,0.001866
58,0.004000,0.396706,0.683387,2.003722,1.160953,173.936258,153.911610,0.037280,0.047400,0.077718,0.082519,6.188790,6.698017,0.000328,0.000429,0.000727,0.000775,0.061852,0.067073,0.001674,0.001875
59,0.004000,0.396978,0.682429,1.998204,3.070610,173.197235,142.740111,0.037417,0.045830,0.077939,0.085503,6.212481,6.713247,0.000330,0.000414,0.000731,0.000797,0.062086,0.067206,0.001681,0.001883
60,0.004000,0.399373,0.680538,1.872864,0.873660,203.822926,145.486378,0.037104,0.045531,0.076857,0.078792,6.187940,6.824618,0.000327,0.000411,0.000718,0.000741,0.061844,0.068329,0.001663,0.001835
61,0.004000,0.397084,0.682512,2.037910,0.946769,174.374961,171.276986,0.036735,0.045973,0.076988,0.081293,6.132438,6.748276,0.000323,0.000415,0.000722,0.000767,0.061283,0.067564,0.001658,0.001858
62,0.004000,0.400535,0.679634,2.177934,1.711411,198.580353,142.896801,0.037227,0.049430,0.078464,0.082381,6.323365,6.499264,0.000328,0.000448,0.000735,0.000772,0.063192,0.065076,0.001695,0.001871
63,0.004000,0.396957,0.682298,1.766376,2.519391,176.185040,140.384608,0.036118,0.046784,0.074687,0.084725,6.010435,6.437360,0.000317,0.000422,0.000697,0.000790,0.060068,0.064459,0.001614,0.001857
64,0.004000,0.396215,0.687392,2.384289,0.871894,182.424612,162.630045,0.036443,0.046219,0.077315,0.082239,6.134408,6.841482,0.000320,0.000418,0.000725,0.000781,0.061306,0.068497,0.001658,0.001885
65,0.004000,0.395678,0.680877,1.825847,1.677548,166.658387,152.158597,0.036045,0.045901,0.075077,0.085168,6.031209,6.757693,0.000316,0.000414,0.000700,0.000801,0.060277,0.067650,0.001619,0.001892
66,0.004000,0.396121,0.682438,2.242755,3.144285,176.238061,139.382222,0.036003,0.045255,0.076280,0.085176,6.099527,6.540961,0.000316,0.000409,0.000713,0.000792,0.060958,0.065494,0.001639,0.001855
67,0.004000,0.398147,0.682966,1.941220,0.562096,175.489198,161.086558,0.035781,0.044247,0.075093,0.079428,6.054611,6.525594,0.000314,0.000399,0.000700,0.000750,0.060507,0.065334,0.001619,0.001802
68,0.004000,0.395216,0.681793,1.822813,1.011955,181.345446,129.714783,0.035785,0.044237,0.074950,0.077975,6.007124,6.333267,0.000314,0.000399,0.000699,0.000732,0.060032,0.063428,0.001613,0.001765
69,0.004000,0.396722,0.685860,1.974693,2.584442,169.923639,159.613044,0.035626,0.045415,0.074959,0.082755,5.991850,6.674289,0.000312,0.000410,0.000701,0.000772,0.059876,0.066817,0.001611,0.001850
70,0.004000,0.401289,0.687505,2.094777,4.725151,174.109348,147.269538,0.035953,0.049690,0.075375,0.087172,6.000296,6.513633,0.000315,0.000451,0.000703,0.000806,0.059962,0.065213,0.001618,0.001909
71,0.004000,0.399306,0.682807,2.115863,1.499182,172.835737,134.443962,0.035572,0.044860,0.074769,0.079424,6.019451,6.323953,0.000312,0.000404,0.000699,0.000743,0.060156,0.063324,0.001612,0.001780
72,0.004000,0.412439,0.680371,1.982315,0.786998,496.723118,134.009318,0.036694,0.045078,0.076266,0.080052,6.566061,6.437509,0.000323,0.000407,0.000712,0.000754,0.065618,0.064461,0.001691,0.001806
73,0.004000,0.394834,0.680209,1.956261,0.512736,160.093534,129.524948,0.034766,0.048896,0.072996,0.075501,5.782698,6.268089,0.000304,0.000443,0.000681,0.000711,0.057786,0.062770,0.001562,0.001781
74,0.004000,0.395164,0.684743,1.908967,1.019150,164.457277,161.802422,0.034909,0.046331,0.072536,0.080648,5.837624,6.933482,0.000305,0.000419,0.000677,0.000759,0.058342,0.069415,0.001565,0.001871
75,0.004000,0.393677,0.682714,1.867767,4.514061,170.095867,136.238042,0.034655,0.049034,0.072097,0.084112,5.849489,6.455393,0.000303,0.000444,0.000670,0.000776,0.058461,0.064639,0.001558,0.001867
76,0.004000,0.395484,0.682261,1.998889,3.050467,162.437188,136.143238,0.034565,0.043023,0.073060,0.083053,5.819782,6.382201,0.000302,0.000387,0.000681,0.000774,0.058161,0.063917,0.001564,0.001800
77,0.004000,0.394019,0.681039,1.820486,3.436216,189.186901,155.083228,0.034541,0.044847,0.072837,0.085724,5.950031,6.791887,0.000302,0.000404,0.000677,0.000797,0.059461,0.068000,0.001574,0.001881
78,0.004000,0.394347,0.682942,1.800735,1.073820,165.376439,150.914532,0.034316,0.043637,0.071957,0.079536,5.835362,6.659272,0.000299,0.000393,0.000670,0.000747,0.058318,0.066673,0.001553,0.001806
79,0.004000,0.395663,0.679422,1.952331,1.234447,171.780752,147.274593,0.034088,0.042526,0.071912,0.078132,5.800126,6.533413,0.000297,0.000382,0.000670,0.000735,0.057962,0.065420,0.001547,0.001772
80,0.004000,0.393761,0.683362,1.801842,3.686823,162.685632,146.098862,0.034257,0.045033,0.071185,0.085162,5.828365,6.815602,0.000299,0.000406,0.000663,0.000791,0.058243,0.068237,0.001544,0.001880
