Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
59,0.004000,0.394893,0.681042,1.837539,2.408872,160.674992,162.150334,0.037364,0.046929,0.083202,0.088090,5.983532,6.785410,0.000329,0.000425,0.000782,0.000841,0.059796,0.068408,0.001710,0.001950
60,0.004000,0.397651,0.682008,1.776628,0.687837,166.293373,164.854802,0.037455,0.045945,0.082521,0.085277,6.016917,6.826266,0.000330,0.000416,0.000775,0.000811,0.060129,0.068825,0.001706,0.001916
61,0.004000,0.394436,0.681658,1.824267,2.297372,165.211342,167.311744,0.037047,0.045961,0.081924,0.090331,5.929012,6.925605,0.000326,0.000416,0.000769,0.000863,0.059249,0.069831,0.001687,0.001977
62,0.004000,0.395214,0.683946,1.841038,2.705907,159.387476,163.689645,0.037076,0.047283,0.082544,0.089639,5.984568,6.870215,0.000326,0.000429,0.000775,0.000856,0.059805,0.069282,0.001700,0.001978
63,0.004000,0.396603,0.680766,1.819888,0.896611,166.760053,170.671197,0.036844,0.046119,0.081751,0.086264,5.944905,6.986177,0.000324,0.000417,0.000768,0.000820,0.059408,0.070431,0.001687,0.001942
64,0.004000,0.393964,0.684929,1.808029,2.393722,157.991197,170.829253,0.036531,0.046299,0.081338,0.087869,5.894043,6.838363,0.000321,0.000420,0.000764,0.000838,0.058900,0.068946,0.001675,0.001947
65,0.004000,0.395410,0.680587,1.767352,0.727888,168.437698,164.057465,0.036734,0.045826,0.081375,0.088183,5.948611,6.951618,0.000323,0.000415,0.000764,0.000839,0.059447,0.070075,0.001681,0.001954
66,0.004000,0.396787,0.680961,1.834500,2.917951,170.720795,166.271980,0.036321,0.045147,0.080967,0.090217,5.904797,6.766438,0.000319,0.000408,0.000761,0.000865,0.059008,0.068223,0.001670,0.001955
67,0.004000,0.393822,0.682245,1.793632,2.533588,163.198249,164.427337,0.036065,0.046093,0.080614,0.088083,5.868178,6.800764,0.000317,0.000417,0.000757,0.000841,0.058641,0.068542,0.001660,0.001943
68,0.004000,0.394812,0.679848,1.761073,0.492470,162.363888,154.020856,0.035772,0.044883,0.079842,0.083343,5.827555,6.675075,0.000314,0.000405,0.000748,0.000791,0.058235,0.067332,0.001644,0.001869
69,0.004000,0.394309,0.682905,1.783843,2.763291,151.905670,172.532850,0.035789,0.046640,0.079819,0.087341,5.760934,6.887090,0.000314,0.000423,0.000748,0.000834,0.057568,0.069485,0.001638,0.001952
70,0.004000,0.394227,0.680112,1.758207,2.396678,157.628797,151.960062,0.035396,0.044844,0.079561,0.086148,5.779557,6.557270,0.000310,0.000405,0.000745,0.000822,0.057755,0.066166,0.001632,0.001889
71,0.004000,0.393184,0.682481,1.767525,0.471177,153.850221,158.256364,0.035160,0.045117,0.079011,0.082796,5.736134,6.733333,0.000308,0.000407,0.000740,0.000784,0.057320,0.067931,0.001621,0.001871
72,0.004000,0.393597,0.683692,1.770833,1.190844,163.874087,170.495560,0.035009,0.045439,0.078329,0.085194,5.721348,6.736619,0.000306,0.000411,0.000734,0.000813,0.057174,0.067952,0.001612,0.001903
73,0.004000,0.393874,0.681041,1.733126,2.890254,154.431819,165.149377,0.035267,0.046108,0.079017,0.089878,5.762157,6.804624,0.000309,0.000417,0.000740,0.000859,0.057583,0.068601,0.001625,0.001962
74,0.004000,0.394910,0.682603,1.790117,2.508355,161.385787,150.982506,0.035152,0.044862,0.078714,0.085539,5.749302,6.592717,0.000308,0.000406,0.000736,0.000816,0.057451,0.066510,0.001618,0.001887
75,0.004000,0.392700,0.681744,1.816568,1.069201,153.257656,172.771082,0.034826,0.047273,0.078452,0.086559,5.701401,7.095302,0.000304,0.000429,0.000735,0.000823,0.056976,0.071504,0.001609,0.001967
76,0.004000,0.395273,0.682807,1.780571,2.565988,158.825839,161.007036,0.034715,0.044469,0.078431,0.086064,5.720770,6.606641,0.000303,0.000402,0.000736,0.000821,0.057167,0.066640,0.001611,0.001889
77,0.004000,0.392568,0.680119,1.741418,0.642440,152.728873,167.631176,0.034204,0.044718,0.076956,0.083027,5.587142,6.697626,0.000298,0.000404,0.000720,0.000788,0.055834,0.067525,0.001577,0.001867
78,0.004000,0.393482,0.683939,1.800826,2.830265,158.917645,174.125276,0.034531,0.046195,0.077769,0.086140,5.704355,6.632100,0.000302,0.000418,0.000728,0.000823,0.057004,0.066882,0.001600,0.001910
79,0.004000,0.393073,0.682234,1.758417,0.460574,158.819132,168.459667,0.034187,0.044312,0.076987,0.082200,5.620936,6.885379,0.000298,0.000400,0.000720,0.000779,0.056168,0.069415,0.001580,0.001873
80,0.004000,0.393305,0.681721,1.784316,2.475980,155.176454,160.639607,0.034149,0.044036,0.076784,0.085293,5.656273,6.616505,0.000298,0.000397,0.000719,0.000814,0.056523,0.066751,0.001582,0.001879
81,0.004000,0.391909,0.680937,1.704517,2.878303,152.141921,158.913984,0.033796,0.043866,0.075695,0.085685,5.590344,6.574126,0.000294,0.000395,0.000707,0.000816,0.055863,0.066336,0.001560,0.001875
82,0.004000,0.394371,0.681003,1.805385,0.663313,157.572290,158.584781,0.033878,0.044131,0.076760,0.080521,5.632350,6.567103,0.000295,0.000398,0.000718,0.000764,0.056283,0.066225,0.001576,0.001824
83,0.004000,0.392731,0.683098,1.738584,0.899150,155.615099,168.051307,0.033752,0.043823,0.076471,0.084731,5.536971,6.782395,0.000294,0.000395,0.000714,0.000803,0.055329,0.068394,0.001561,0.001883
84,0.004000,0.392823,0.680686,1.830218,2.120569,152.278441,153.258075,0.033674,0.044159,0.076534,0.083266,5.582625,6.781656,0.000293,0.000399,0.000717,0.000792,0.055785,0.068380,0.001567,0.001874
85,0.004000,0.393125,0.680404,1.765174,0.578831,171.137049,171.621071,0.033576,0.043972,0.076246,0.083045,5.657695,6.962325,0.000292,0.000397,0.000712,0.000787,0.056538,0.070173,0.001570,0.001885
86,0.004000,0.392451,0.683170,1.772330,0.693218,147.395447,152.107904,0.033309,0.044779,0.075483,0.082616,5.512167,6.670966,0.000290,0.000404,0.000706,0.000782,0.055083,0.067305,0.001546,0.001860
87,0.004000,0.392182,0.679440,1.754731,1.009790,162.695769,161.130467,0.033274,0.043932,0.075078,0.081964,5.541814,6.688598,0.000289,0.000396,0.000701,0.000778,0.055377,0.067444,0.001544,0.001848
88,0.004000,0.392426,0.684458,1.777659,2.537241,172.390109,163.558480,0.033466,0.044591,0.076029,0.083491,5.620849,6.598443,0.000291,0.000403,0.000710,0.000795,0.056170,0.066563,0.001563,0.001863
89,0.004000,0.391732,0.682614,1.712372,0.569396,153.929873,168.206017,0.033018,0.042839,0.074437,0.080137,5.476820,6.692421,0.000287,0.000386,0.000694,0.000757,0.054727,0.067516,0.001528,0.001819
90,0.004000,0.391979,0.682068,1.757611,2.900349,158.135662,166.786406,0.032901,0.043272,0.074867,0.085878,5.521000,6.743131,0.000286,0.000390,0.000699,0.000818,0.055170,0.067979,0.001536,0.001888
91,0.004000,0.392140,0.680986,1.748279,0.752744,150.615433,149.092468,0.032925,0.044488,0.074774,0.079918,5.500973,6.511989,0.000286,0.000402,0.000699,0.000756,0.054969,0.065690,0.001535,0.001815
92,0.004000,0.392498,0.680531,1.759262,0.503675,153.093691,177.269389,0.032784,0.044381,0.074538,0.080478,5.457619,6.793318,0.000284,0.000400,0.000696,0.000760,0.054535,0.068461,0.001525,0.001844
93,0.004000,0.391926,0.684210,1.752051,2.923286,148.973376,164.417992,0.032532,0.043371,0.074123,0.085744,5.442768,6.607561,0.000282,0.000391,0.000691,0.000820,0.054389,0.066623,0.001517,0.001876
94,0.004000,0.391874,0.680405,1.741945,0.435415,156.111243,169.391184,0.032721,0.043491,0.074670,0.080791,5.528505,6.846095,0.000284,0.000392,0.000696,0.000764,0.055246,0.068999,0.001532,0.001846
95,0.004000,0.392011,0.683913,1.751171,2.656800,154.077433,156.528176,0.032282,0.043621,0.073751,0.083510,5.410942,6.559697,0.000280,0.000393,0.000688,0.000795,0.054071,0.066193,0.001508,0.001850
96,0.004000,0.391443,0.681967,1.715484,2.811168,152.895543,169.582522,0.032377,0.043738,0.073555,0.088421,5.443874,7.136178,0.000280,0.000394,0.000685,0.000845,0.054400,0.071909,0.001510,0.001958
97,0.004000,0.392283,0.681915,1.730261,0.654962,152.003011,163.435440,0.032258,0.043392,0.073806,0.080852,5.420466,6.687430,0.000279,0.000391,0.000689,0.000765,0.054165,0.067452,0.001510,0.001830
98,0.004000,0.391161,0.680683,1.758253,0.592040,152.201505,157.768629,0.032073,0.044009,0.072844,0.081724,5.354495,6.835847,0.000277,0.000398,0.000681,0.000774,0.053505,0.068920,0.001493,0.001861
99,0.004000,0.391395,0.681724,1.723087,2.890863,152.549932,159.654578,0.031909,0.042305,0.072242,0.083024,5.393970,6.576563,0.000276,0.000381,0.000673,0.000791,0.053899,0.066328,0.001487,0.001835
100,0.004000,0.391269,0.681059,1.744998,2.954960,156.173712,162.472962,0.032189,0.042900,0.073477,0.086780,5.437103,6.881617,0.000279,0.000386,0.000685,0.000828,0.054332,0.069394,0.001507,0.001909
101,0.004000,0.392290,0.679425,1.773292,0.770755,152.450753,147.869118,0.032103,0.042220,0.073316,0.078097,5.410948,6.377200,0.000278,0.000380,0.000684,0.000738,0.054068,0.064363,0.001503,0.001762
102,0.004000,0.392609,0.682862,1.712880,2.873347,156.398799,161.608140,0.031957,0.043178,0.072573,0.084643,5.376884,6.570927,0.000276,0.000389,0.000676,0.000809,0.053728,0.066312,0.001489,0.001860
103,0.004000,0.391197,0.679472,1.775335,2.357235,155.117544,150.293495,0.031612,0.041907,0.072497,0.082413,5.333611,6.455166,0.000273,0.000377,0.000677,0.000784,0.053295,0.065109,0.001483,0.001812
104,0.004000,0.392475,0.680403,1.695378,2.680719,152.130904,152.506721,0.031869,0.042642,0.072089,0.083636,5.338864,6.446979,0.000276,0.000383,0.000671,0.000800,0.053348,0.065034,0.001480,0.001833
105,0.004000,0.391428,0.678510,1.766302,2.423481,152.729851,152.663736,0.031795,0.041692,0.072598,0.081726,5.368963,6.520779,0.000275,0.000375,0.000676,0.000777,0.053649,0.065748,0.001488,0.001809
106,0.004000,0.391824,0.680186,1.717108,0.409269,151.172948,162.753291,0.031691,0.041487,0.072265,0.078597,5.307605,6.470486,0.000274,0.000373,0.000674,0.000742,0.053036,0.065262,0.001478,0.001767
107,0.004000,0.391002,0.681459,1.768719,0.622133,151.458953,155.279656,0.031372,0.043326,0.071633,0.079014,5.314293,6.427449,0.000271,0.000390,0.000668,0.000747,0.053102,0.064865,0.001470,0.001786
108,0.004000,0.391762,0.684207,1.764776,2.572481,150.627219,154.363423,0.031365,0.043715,0.071895,0.084133,5.282068,6.740513,0.000271,0.000394,0.000670,0.000801,0.052781,0.067967,0.001468,0.001874
109,0.004000,0.392055,0.679325,1.749232,2.725133,164.636073,151.430245,0.031571,0.042214,0.071641,0.082997,5.374695,6.410808,0.000273,0.000380,0.000668,0.000792,0.053707,0.064667,0.001478,0.001819
110,0.004000,0.390835,0.683631,1.782480,0.813816,147.816211,159.716204,0.030972,0.041983,0.071368,0.079313,5.199203,6.526258,0.000267,0.000377,0.000665,0.000751,0.051952,0.065841,0.001451,0.001787
111,0.004000,0.391257,0.678725,1.760214,1.160430,156.122047,150.764254,0.031030,0.042431,0.071033,0.081296,5.298470,6.446714,0.000267,0.000382,0.000662,0.000771,0.052946,0.065030,0.001459,0.001803
112,0.004000,0.390021,0.683220,1.717866,0.699138,144.969365,156.308670,0.030846,0.042347,0.070482,0.077298,5.198749,6.663573,0.000266,0.000381,0.000656,0.000731,0.051947,0.067195,0.001441,0.001784
113,0.004000,0.391298,0.681199,1.718874,3.067310,158.207563,157.671628,0.031083,0.042010,0.070902,0.084429,5.292274,6.602135,0.000268,0.000378,0.000660,0.000804,0.052883,0.066584,0.001457,0.001848
114,0.004000,0.391148,0.682366,1.761493,0.823644,151.391590,166.295492,0.030808,0.041641,0.070805,0.078958,5.260657,6.478370,0.000265,0.000374,0.000659,0.000749,0.052566,0.065346,0.001450,0.001777
115,0.004000,0.391016,0.682060,1.737601,2.698276,153.283220,155.481299,0.030905,0.042080,0.071117,0.082791,5.286865,6.466565,0.000266,0.000379,0.000663,0.000788,0.052828,0.065250,0.001457,0.001819
116,0.004000,0.390332,0.681398,1.716846,2.199515,146.913002,163.945949,0.030649,0.041670,0.070433,0.082543,5.200604,6.590734,0.000264,0.000374,0.000655,0.000784,0.051966,0.066456,0.001438,0.001823
117,0.004000,0.390230,0.681245,1.769790,0.570464,149.569941,157.678667,0.030757,0.041888,0.070862,0.077329,5.212149,6.342834,0.000265,0.000376,0.000659,0.000729,0.052082,0.064021,0.001445,0.001745
118,0.004000,0.391261,0.680046,1.731551,2.095504,149.746650,154.773913,0.030685,0.042141,0.070289,0.082241,5.206528,6.671337,0.000264,0.000379,0.000654,0.000782,0.052027,0.067250,0.001439,0.001834
119,0.004000,0.391288,0.681255,1.716916,0.510392,153.347701,155.942647,0.030759,0.041422,0.070458,0.077614,5.246793,6.438543,0.000265,0.000372,0.000655,0.000733,0.052427,0.064959,0.001444,0.001754
120,0.004000,0.390627,0.680969,1.734198,0.715876,150.566334,152.762668,0.030565,0.041996,0.069976,0.077116,5.191939,6.294650,0.000263,0.000377,0.000650,0.000727,0.051879,0.063499,0.001432,0.001739
121,0.004000,0.389863,0.679264,1.735211,1.017671,143.878767,157.061740,0.030351,0.041097,0.070147,0.078849,5.137867,6.674788,0.000261,0.000369,0.000653,0.000746,0.051339,0.067300,0.001427,0.001788
122,0.004000,0.390579,0.680683,1.744082,0.467876,160.764210,145.764033,0.030239,0.041547,0.069560,0.077799,5.192219,6.410951,0.000260,0.000373,0.000647,0.000735,0.051883,0.064667,0.001426,0.001755
