epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
1,105485,0.009587,0.033343,0.109256,7.728762,0.000288,0.001044,0.077238,0.002104,0.044993,0.151153,9.114975,0.000403,0.001464,0.091125,0.002778
1,107475,0.009571,0.033092,0.109950,7.732949,0.000285,0.001052,0.077280,0.002110,0.031623,0.103653,7.247872,0.000270,0.000989,0.072457,0.001984
1,109465,0.009555,0.031731,0.104949,7.326330,0.000272,0.001003,0.073213,0.002006,0.027009,0.105540,7.214063,0.000226,0.001007,0.072124,0.001955
1,111456,0.009538,0.031023,0.103447,7.306877,0.000265,0.000987,0.073019,0.001982,0.028832,0.102086,7.218445,0.000243,0.000973,0.072161,0.001938
1,113446,0.009522,0.031651,0.104884,7.410029,0.000271,0.001002,0.074050,0.002014,0.033535,0.106048,7.367792,0.000289,0.001013,0.073659,0.002039
1,115436,0.009505,0.031050,0.104443,7.362272,0.000265,0.000998,0.073573,0.001998,0.037915,0.104112,7.120694,0.000333,0.000994,0.071187,0.002038
1,117426,0.009488,0.030740,0.102910,7.292706,0.000262,0.000982,0.072877,0.001973,0.028075,0.102362,7.128695,0.000236,0.000976,0.071268,0.001925
1,119417,0.009470,0.030690,0.103063,7.408637,0.000262,0.000983,0.074036,0.001985,0.031695,0.101678,7.040016,0.000271,0.000969,0.070380,0.001944
1,121407,0.009452,0.030023,0.101890,7.205243,0.000255,0.000972,0.072003,0.001947,0.030782,0.101738,7.177186,0.000262,0.000970,0.071750,0.001950
1,123397,0.009434,0.042959,0.134554,9.301273,0.000384,0.001300,0.092963,0.002613,0.042600,0.140866,8.731481,0.000379,0.001362,0.087299,0.002614
1,125388,0.009416,0.059382,0.155591,11.062268,0.000547,0.001510,0.110573,0.003163,0.048795,0.130563,8.569104,0.000441,0.001258,0.085672,0.002556
1,127378,0.009397,0.038514,0.119677,8.060830,0.000339,0.001150,0.080558,0.002294,0.039502,0.115241,8.147483,0.000348,0.001105,0.081455,0.002268
1,129368,0.009378,0.033927,0.109885,7.679274,0.000293,0.001052,0.076743,0.002113,0.028802,0.105124,7.202364,0.000244,0.001004,0.072001,0.001967
1,131358,0.009359,0.032588,0.105660,7.410230,0.000280,0.001009,0.074052,0.002030,0.030416,0.103190,7.174820,0.000259,0.000984,0.071726,0.001960
1,133349,0.009340,0.031226,0.103503,7.269582,0.000267,0.000988,0.072646,0.001981,0.033893,0.102419,7.616496,0.000293,0.000977,0.076146,0.002032
1,135339,0.009320,0.030992,0.102603,7.403465,0.000264,0.000979,0.073985,0.001983,0.036146,0.111618,8.938905,0.000315,0.001069,0.089366,0.002278
1,137329,0.009300,0.030416,0.101889,7.330057,0.000259,0.000972,0.073251,0.001963,0.028793,0.101018,7.057145,0.000244,0.000963,0.070548,0.001912
1,139319,0.009280,0.030501,0.101582,7.311526,0.000260,0.000969,0.073065,0.001959,0.027374,0.101874,7.175329,0.000229,0.000972,0.071728,0.001918
1,141310,0.009260,0.029598,0.100442,7.123365,0.000251,0.000957,0.071184,0.001920,0.042076,0.100495,7.165947,0.000374,0.000957,0.071640,0.002048
1,143300,0.009239,0.029296,0.099836,7.103075,0.000248,0.000951,0.070981,0.001909,0.028710,0.101086,7.136336,0.000242,0.000963,0.071342,0.001919
