epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
47,0.007700,0.041093,0.083508,6.392891,0.000366,0.000791,0.063898,0.001796,0.051878,0.092759,6.850234,0.000471,0.000892,0.068388,0.002047,0.042989,0.095386,7.626978,0.000386,0.000936,0.076770,0.002089
48,0.007650,0.041856,0.084053,6.365978,0.000373,0.000796,0.063627,0.001806,0.049699,0.095276,6.670764,0.000450,0.000918,0.066595,0.002033,0.041093,0.092846,7.520156,0.000367,0.000902,0.075686,0.002026
49,0.007600,0.041592,0.083798,6.392425,0.000371,0.000793,0.063892,0.001803,0.049157,0.092653,6.783261,0.000445,0.000890,0.067742,0.002013,0.040379,0.096017,7.727756,0.000361,0.000943,0.077636,0.002080
50,0.007550,0.039990,0.081749,6.260433,0.000355,0.000773,0.062572,0.001754,0.050909,0.086398,7.019201,0.000462,0.000826,0.070104,0.001988,0.043669,0.093297,8.186055,0.000393,0.000902,0.082693,0.002122
51,0.007500,0.039855,0.081303,6.252230,0.000354,0.000769,0.062490,0.001747,0.047406,0.091190,6.870469,0.000428,0.000875,0.068586,0.001989,0.039730,0.091249,7.737570,0.000355,0.000884,0.077636,0.002016
52,0.007450,0.039424,0.080483,6.152207,0.000349,0.000761,0.061492,0.001725,0.049795,0.088783,6.911113,0.000451,0.000850,0.069006,0.001992,0.039694,0.090973,7.698480,0.000353,0.000884,0.077213,0.002009
53,0.007400,0.039294,0.080681,6.227724,0.000348,0.000762,0.062244,0.001733,0.046175,0.085954,6.860343,0.000416,0.000822,0.068499,0.001924,0.037142,0.087980,7.560441,0.000329,0.000848,0.075877,0.001935
54,0.007350,0.038955,0.079468,6.139746,0.000345,0.000750,0.061364,0.001709,0.050517,0.081442,6.535151,0.000458,0.000775,0.065255,0.001886,0.042081,0.090917,7.641944,0.000376,0.000886,0.077371,0.002036
55,0.007300,0.038626,0.079176,6.063370,0.000341,0.000747,0.060602,0.001694,0.046988,0.084640,6.699123,0.000424,0.000810,0.066857,0.001902,0.039528,0.086907,7.395575,0.000353,0.000840,0.074178,0.001935
56,0.007250,0.038257,0.077963,5.970523,0.000338,0.000735,0.059673,0.001670,0.046997,0.083256,6.545906,0.000424,0.000796,0.065352,0.001874,0.038121,0.086017,7.345750,0.000337,0.000828,0.074066,0.001906
57,0.007200,0.037713,0.077203,5.995795,0.000333,0.000728,0.059926,0.001660,0.047866,0.085638,6.650064,0.000432,0.000819,0.066413,0.001915,0.038815,0.088418,7.356776,0.000343,0.000850,0.073923,0.001933
58,0.007150,0.037924,0.077198,6.009124,0.000335,0.000728,0.060061,0.001663,0.049465,0.090457,6.912545,0.000448,0.000866,0.068993,0.002005,0.041417,0.092017,7.700636,0.000370,0.000884,0.077099,0.002025
59,0.007100,0.037705,0.078078,5.978600,0.000332,0.000736,0.059754,0.001666,0.047205,0.080402,6.627959,0.000426,0.000766,0.066164,0.001853,0.038913,0.086965,7.338638,0.000344,0.000850,0.073583,0.001930
60,0.007050,0.036901,0.076275,5.875601,0.000325,0.000720,0.058723,0.001632,0.048510,0.082308,6.459076,0.000438,0.000786,0.064484,0.001869,0.040816,0.087302,7.437216,0.000364,0.000853,0.074956,0.001967
61,0.007000,0.036291,0.075253,5.800158,0.000319,0.000709,0.057968,0.001607,0.047332,0.082935,6.468364,0.000426,0.000793,0.064568,0.001866,0.038062,0.085004,7.120127,0.000336,0.000819,0.071691,0.001872
62,0.006950,0.036374,0.075004,5.817778,0.000319,0.000706,0.058145,0.001607,0.044729,0.080242,6.455218,0.000402,0.000764,0.064458,0.001810,0.035898,0.087208,7.442963,0.000316,0.000841,0.074585,0.001903
63,0.006900,0.035702,0.073881,5.740406,0.000313,0.000695,0.057372,0.001582,0.045300,0.080693,6.545689,0.000407,0.000769,0.065323,0.001830,0.036753,0.084227,7.302191,0.000325,0.000806,0.073694,0.001868
64,0.006850,0.035682,0.074638,5.691128,0.000313,0.000703,0.056880,0.001584,0.047150,0.078404,6.635257,0.000425,0.000746,0.066235,0.001833,0.038139,0.083744,7.303143,0.000338,0.000811,0.073403,0.001883
65,0.006800,0.035662,0.074637,5.775054,0.000312,0.000703,0.057717,0.001592,0.044791,0.081102,6.320863,0.000402,0.000773,0.063094,0.001806,0.036071,0.083834,7.325422,0.000319,0.000803,0.074110,0.001863
66,0.006750,0.035226,0.073420,5.710998,0.000308,0.000690,0.057078,0.001569,0.045665,0.079965,6.479143,0.000410,0.000761,0.064698,0.001818,0.036987,0.085826,7.227216,0.000327,0.000827,0.072831,0.001882
67,0.006700,0.035136,0.072804,5.683099,0.000307,0.000684,0.056802,0.001560,0.047239,0.083708,6.769796,0.000425,0.000799,0.067593,0.001900,0.039240,0.087793,7.743528,0.000348,0.000844,0.078408,0.001976
68,0.006650,0.034839,0.072260,5.583767,0.000304,0.000679,0.055806,0.001541,0.047561,0.083282,6.598812,0.000428,0.000795,0.065845,0.001881,0.040111,0.086523,7.324338,0.000357,0.000836,0.073466,0.001928
69,0.006600,0.034671,0.072133,5.585292,0.000303,0.000677,0.055819,0.001538,0.044864,0.081055,6.340827,0.000403,0.000774,0.063307,0.001810,0.036407,0.086911,7.127732,0.000320,0.000840,0.071378,0.001874
70,0.006550,0.034339,0.072104,5.621992,0.000300,0.000677,0.056191,0.001538,0.045387,0.079290,6.886975,0.000407,0.000755,0.068696,0.001849,0.036229,0.085911,7.626388,0.000320,0.000831,0.076432,0.001915
71,0.006500,0.034296,0.071454,5.604642,0.000299,0.000671,0.056014,0.001530,0.044913,0.083112,6.259678,0.000403,0.000793,0.062492,0.001821,0.038099,0.087417,7.122690,0.000340,0.000865,0.071839,0.001923
