Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
51,0.004000,0.398814,0.681373,2.079249,1.414751,161.851137,142.486779,0.037761,0.048456,0.081945,0.087770,6.110877,6.662679,0.000333,0.000439,0.000771,0.000830,0.061070,0.066710,0.001715,0.001936
52,0.004000,0.396680,0.684757,1.888429,1.086966,165.351640,159.865840,0.037677,0.045464,0.081337,0.085760,6.147321,6.557936,0.000332,0.000410,0.000763,0.000809,0.061436,0.065656,0.001710,0.001876
53,0.004000,0.399370,0.686158,2.030222,2.915689,176.299998,152.149852,0.037581,0.047163,0.081795,0.086903,6.118111,6.800193,0.000331,0.000427,0.000768,0.000812,0.061140,0.068083,0.001711,0.001920
54,0.004000,0.403077,0.682431,1.932411,1.021176,170.331566,146.831406,0.037790,0.047245,0.081345,0.084454,6.165984,6.581887,0.000334,0.000428,0.000764,0.000797,0.061621,0.065892,0.001713,0.001884
55,0.004000,0.398093,0.684827,1.927240,1.318070,170.808757,145.876578,0.037287,0.046853,0.080647,0.083405,6.134285,6.579892,0.000329,0.000424,0.000755,0.000786,0.061303,0.065876,0.001697,0.001868
56,0.004000,0.398116,0.682937,1.928141,1.098209,163.650941,154.190313,0.037095,0.046262,0.080048,0.084250,6.061455,6.589230,0.000327,0.000418,0.000751,0.000795,0.060574,0.065973,0.001683,0.001873
57,0.004000,0.398070,0.684609,1.894061,4.135003,174.467981,144.980930,0.036875,0.047691,0.079765,0.090090,6.025069,6.927907,0.000324,0.000432,0.000747,0.000836,0.060214,0.069357,0.001674,0.001962
58,0.004000,0.401981,0.682528,1.955367,0.972062,158.951999,146.381878,0.036627,0.048346,0.079936,0.083907,6.002705,6.613771,0.000322,0.000439,0.000749,0.000795,0.059995,0.066214,0.001671,0.001896
59,0.004000,0.395817,0.685377,1.818389,4.555833,163.953135,147.374721,0.036609,0.046328,0.079314,0.088249,6.006017,6.593441,0.000322,0.000419,0.000743,0.000816,0.060023,0.066008,0.001665,0.001896
60,0.004000,0.398947,0.688752,1.847657,2.895470,166.364323,158.385815,0.036572,0.045713,0.078854,0.088841,5.938986,6.550721,0.000322,0.000413,0.000738,0.000826,0.059355,0.065589,0.001653,0.001895
61,0.004000,0.395822,0.682269,1.975545,0.477637,161.328970,134.704257,0.035804,0.045278,0.079029,0.077990,5.900740,6.344204,0.000314,0.000409,0.000740,0.000735,0.058970,0.063520,0.001643,0.001779
62,0.004000,0.397592,0.683278,1.866095,1.308137,155.871084,146.310130,0.035744,0.045107,0.077715,0.082902,5.818171,6.465362,0.000313,0.000407,0.000728,0.000778,0.058151,0.064738,0.001623,0.001832
63,0.004000,0.396291,0.681930,1.890034,0.541005,169.295208,138.575172,0.035745,0.046095,0.077460,0.079099,5.931215,6.485199,0.000313,0.000417,0.000725,0.000746,0.059271,0.064933,0.001631,0.001813
64,0.004000,0.396193,0.682996,1.890166,0.672634,164.472057,154.133015,0.035477,0.044685,0.077072,0.082144,5.843779,6.846141,0.000311,0.000403,0.000722,0.000776,0.058401,0.068537,0.001617,0.001864
65,0.004000,0.395348,0.683642,1.938108,3.631853,155.214660,144.400098,0.035404,0.045113,0.077270,0.085341,5.797266,6.414391,0.000310,0.000407,0.000722,0.000792,0.057935,0.064233,0.001612,0.001841
66,0.004000,0.396918,0.682826,1.949156,2.463994,161.029512,145.082976,0.035428,0.045009,0.077745,0.081932,5.869945,6.318150,0.000310,0.000406,0.000726,0.000764,0.058661,0.063263,0.001623,0.001802
67,0.004000,0.396505,0.683783,1.778790,2.844212,159.166306,160.904428,0.035251,0.044979,0.076239,0.088533,5.782666,6.947352,0.000309,0.000406,0.000711,0.000824,0.057790,0.069557,0.001598,0.001926
68,0.004000,0.396828,0.682352,1.942709,1.161869,170.881415,140.592213,0.035096,0.044607,0.076488,0.082880,5.838479,6.380177,0.000307,0.000402,0.000716,0.000781,0.058351,0.063886,0.001607,0.001822
69,0.004000,0.395285,0.680668,1.928066,0.701081,159.802070,152.674376,0.034574,0.044896,0.075280,0.079761,5.745693,6.490949,0.000302,0.000405,0.000704,0.000750,0.057416,0.064998,0.001580,0.001805
70,0.004000,0.396022,0.681523,1.871181,2.955595,165.840795,134.283980,0.034746,0.043325,0.075405,0.083397,5.788222,6.612107,0.000304,0.000390,0.000705,0.000776,0.057844,0.066203,0.001587,0.001828
71,0.004000,0.394914,0.686265,1.864637,3.451989,155.755828,152.892219,0.034467,0.043859,0.074896,0.083403,5.693017,6.491076,0.000301,0.000395,0.000699,0.000774,0.056896,0.064989,0.001569,0.001819
72,0.004000,0.395067,0.681355,1.932178,1.126002,159.141082,140.434541,0.034542,0.044154,0.075810,0.077802,5.762489,6.283080,0.000302,0.000397,0.000708,0.000729,0.057584,0.062910,0.001586,0.001755
73,0.004000,0.394264,0.682699,1.870177,2.264383,157.951678,156.416449,0.034273,0.048313,0.074726,0.085388,5.679312,7.085411,0.000299,0.000438,0.000697,0.000799,0.056760,0.070934,0.001564,0.001947
74,0.004000,0.394562,0.682729,1.823266,0.948153,159.392810,145.005363,0.034228,0.043912,0.074126,0.078936,5.690843,6.366348,0.000299,0.000395,0.000691,0.000745,0.056870,0.063747,0.001559,0.001778
75,0.004000,0.396057,0.683543,1.948189,1.130769,157.795003,151.111165,0.034247,0.042863,0.074913,0.079163,5.655022,6.566190,0.000299,0.000385,0.000699,0.000743,0.056514,0.065750,0.001563,0.001786
76,0.004000,0.395246,0.682934,1.869484,1.100538,155.880816,138.021281,0.034157,0.045178,0.074471,0.080924,5.664161,6.698451,0.000298,0.000408,0.000695,0.000765,0.056613,0.067066,0.001559,0.001844
77,0.004000,0.398642,0.682997,1.886620,0.663999,169.677871,157.987557,0.034137,0.043458,0.074305,0.080440,5.684064,6.809086,0.000298,0.000391,0.000694,0.000761,0.056805,0.068175,0.001560,0.001834
78,0.004000,0.394984,0.679790,1.984255,2.198123,158.293339,135.203223,0.033690,0.043292,0.074136,0.080938,5.641118,6.607115,0.000293,0.000389,0.000693,0.000755,0.056374,0.066160,0.001550,0.001806
79,0.004000,0.395501,0.686775,1.822928,3.172650,168.757828,169.996843,0.033713,0.043395,0.073787,0.083008,5.689731,6.760042,0.000294,0.000391,0.000688,0.000770,0.056859,0.067677,0.001550,0.001838
80,0.004000,0.396296,0.679953,1.941323,0.823759,162.537143,145.112510,0.033848,0.043021,0.074143,0.078643,5.643723,6.367122,0.000295,0.000386,0.000692,0.000740,0.056398,0.063751,0.001551,0.001764
81,0.004000,0.395632,0.682676,1.970188,2.633384,153.347401,153.054666,0.033529,0.043131,0.073099,0.080296,5.566682,6.324751,0.000292,0.000388,0.000682,0.000746,0.055630,0.063331,0.001530,0.001768
82,0.004000,0.394196,0.682213,1.846105,0.482685,166.240408,133.754887,0.033306,0.043145,0.072941,0.077100,5.627532,6.307983,0.000290,0.000387,0.000679,0.000726,0.056239,0.063168,0.001531,0.001745
83,0.004000,0.394914,0.681622,1.761725,0.707801,163.420797,136.857155,0.033191,0.042765,0.072202,0.077962,5.559102,6.161036,0.000288,0.000384,0.000672,0.000731,0.055552,0.061697,0.001516,0.001732
84,0.004000,0.393839,0.681617,1.821849,2.971621,161.623906,131.607568,0.033139,0.042558,0.072337,0.083544,5.559568,6.307812,0.000288,0.000383,0.000673,0.000777,0.055556,0.063168,0.001516,0.001792
85,0.004000,0.397709,0.680523,1.915135,0.688998,161.484079,145.874138,0.033278,0.043987,0.072935,0.080053,5.590600,6.544813,0.000289,0.000395,0.000681,0.000755,0.055865,0.065535,0.001529,0.001806
86,0.004000,0.394647,0.682219,1.794878,1.084145,158.241780,152.141410,0.032938,0.043277,0.071886,0.079132,5.529199,6.479178,0.000286,0.000389,0.000670,0.000741,0.055253,0.064877,0.001508,0.001779
87,0.004000,0.395166,0.679574,1.876926,0.855118,156.957524,140.473839,0.032946,0.042310,0.071836,0.079428,5.464817,6.517982,0.000286,0.000380,0.000670,0.000750,0.054608,0.065262,0.001502,0.001783
88,0.004000,0.393451,0.680058,1.831306,1.610700,163.319695,154.047416,0.032747,0.041614,0.072210,0.077749,5.553310,6.601391,0.000284,0.000373,0.000673,0.000726,0.055496,0.066094,0.001512,0.001760
89,0.004000,0.393192,0.682658,1.855284,1.640010,151.997557,156.934409,0.032582,0.042465,0.071882,0.081652,5.483215,6.342790,0.000283,0.000382,0.000669,0.000768,0.054794,0.063515,0.001499,0.001785
90,0.004000,0.394242,0.681147,1.751192,1.159488,164.139855,136.072320,0.032312,0.042250,0.070826,0.075472,5.475971,6.295731,0.000280,0.000379,0.000658,0.000706,0.054721,0.063047,0.001485,0.001716
91,0.004000,0.393487,0.681310,1.890163,0.836031,149.332388,153.896954,0.032177,0.043192,0.071061,0.077670,5.390635,6.532067,0.000279,0.000389,0.000662,0.000735,0.053869,0.065406,0.001479,0.001778
92,0.004000,0.392469,0.679249,1.807577,0.985600,156.809805,159.599291,0.032208,0.042758,0.070807,0.078255,5.474631,7.047158,0.000279,0.000384,0.000659,0.000733,0.054707,0.070547,0.001485,0.001823
93,0.004000,0.393424,0.681719,1.757665,0.447397,154.567611,139.215825,0.032117,0.042156,0.070482,0.076132,5.434379,6.269528,0.000278,0.000378,0.000655,0.000718,0.054305,0.062788,0.001476,0.001724
94,0.004000,0.395715,0.682743,1.837160,0.479142,165.631976,149.497996,0.032139,0.043510,0.070629,0.077003,5.451870,6.399391,0.000278,0.000391,0.000657,0.000726,0.054477,0.064081,0.001480,0.001758
95,0.004000,0.394458,0.681573,1.802724,2.968107,153.715098,147.221576,0.032284,0.044380,0.070722,0.082825,5.421313,6.662667,0.000280,0.000400,0.000657,0.000775,0.054182,0.066709,0.001478,0.001842
96,0.004000,0.395168,0.680959,1.912819,3.148481,162.531297,151.605693,0.032269,0.041371,0.071461,0.080207,5.480731,6.530556,0.000280,0.000371,0.000664,0.000744,0.054768,0.065390,0.001492,0.001769
97,0.004000,0.393378,0.680391,1.769265,0.391550,154.638335,137.916018,0.031916,0.041614,0.070277,0.075363,5.379356,6.329734,0.000276,0.000373,0.000654,0.000709,0.053755,0.063382,0.001467,0.001716
98,0.004000,0.396718,0.681507,1.791084,1.043491,155.713114,152.066347,0.032361,0.042329,0.070479,0.078049,5.419753,6.294519,0.000280,0.000380,0.000655,0.000734,0.054158,0.063028,0.001477,0.001744
99,0.004000,0.393996,0.680086,1.889337,0.994320,156.653154,141.185755,0.031786,0.041443,0.069977,0.076202,5.373481,6.297795,0.000275,0.000372,0.000651,0.000715,0.053696,0.063069,0.001462,0.001718
100,0.004000,0.393612,0.680184,1.877875,1.281341,147.536133,143.659005,0.031465,0.040175,0.069296,0.076729,5.286423,6.127815,0.000272,0.000359,0.000644,0.000718,0.052823,0.061366,0.001444,0.001691
101,0.004000,0.392754,0.680226,1.803893,0.947085,165.926872,145.824636,0.031484,0.041477,0.069359,0.076061,5.363144,6.288872,0.000272,0.000372,0.000644,0.000712,0.053591,0.062973,0.001452,0.001714
102,0.004000,0.393057,0.679277,1.769704,0.682467,153.565790,148.022030,0.031484,0.042370,0.069316,0.076269,5.315168,6.636405,0.000272,0.000380,0.000643,0.000716,0.053112,0.066450,0.001446,0.001761
103,0.004000,0.393956,0.681743,1.834959,2.663922,167.016324,157.096570,0.031466,0.041444,0.069259,0.079647,5.390046,6.312368,0.000272,0.000372,0.000643,0.000742,0.053862,0.063206,0.001454,0.001746
104,0.004000,0.393560,0.680236,1.867623,2.315697,153.922716,133.037313,0.031612,0.041249,0.069695,0.077584,5.336814,6.088275,0.000273,0.000370,0.000648,0.000721,0.053328,0.060970,0.001454,0.001700
105,0.004000,0.393947,0.680033,1.830089,0.468072,154.694637,157.272526,0.031290,0.042606,0.068800,0.077049,5.311907,7.277680,0.000270,0.000382,0.000639,0.000726,0.053081,0.072860,0.001440,0.001837
106,0.004000,0.393087,0.681416,1.825264,2.540809,153.750424,146.997201,0.031368,0.044568,0.068839,0.078386,5.323587,6.295828,0.000271,0.000402,0.000639,0.000728,0.053197,0.063041,0.001442,0.001761
107,0.004000,0.392119,0.683499,1.797282,2.845990,152.656066,144.187272,0.031113,0.042327,0.068758,0.078851,5.253450,6.559290,0.000268,0.000380,0.000638,0.000730,0.052500,0.065674,0.001431,0.001767
108,0.004000,0.394546,0.682085,1.790991,1.069604,157.374658,152.165784,0.031374,0.042376,0.068878,0.075594,5.337373,6.349691,0.000271,0.000381,0.000639,0.000710,0.053337,0.063578,0.001443,0.001726
109,0.004000,0.393065,0.682422,1.842160,0.641609,153.323637,151.915212,0.031147,0.041939,0.068645,0.074725,5.277075,6.381179,0.000269,0.000376,0.000638,0.000701,0.052737,0.063901,0.001434,0.001716
110,0.004000,0.392542,0.682285,1.792578,0.797601,159.496563,150.265330,0.030858,0.042409,0.068418,0.074016,5.308238,6.241373,0.000266,0.000381,0.000635,0.000693,0.053046,0.062498,0.001431,0.001699
111,0.004000,0.391988,0.680743,1.766462,0.613632,151.067511,161.585616,0.030921,0.042574,0.067926,0.074542,5.223712,6.444726,0.000266,0.000382,0.000630,0.000700,0.052200,0.064533,0.001419,0.001727
112,0.004000,0.392291,0.681653,1.733986,0.986445,154.645524,151.704737,0.030959,0.041973,0.068055,0.075036,5.300950,6.431986,0.000267,0.000377,0.000632,0.000704,0.052970,0.064403,0.001428,0.001724
113,0.004000,0.392986,0.680971,1.766581,0.517064,156.409419,159.803068,0.030867,0.042031,0.068093,0.074827,5.267030,6.490123,0.000266,0.000377,0.000632,0.000706,0.052632,0.064982,0.001424,0.001734
114,0.004000,0.393950,0.681582,1.880873,0.904119,153.332735,144.951969,0.030922,0.040389,0.068185,0.074100,5.248935,6.413699,0.000266,0.000361,0.000633,0.000693,0.052456,0.064219,0.001424,0.001696
115,0.004000,0.392612,0.678231,1.850009,1.446415,152.157393,151.366619,0.030628,0.041243,0.067458,0.076307,5.195621,6.405611,0.000264,0.000370,0.000626,0.000713,0.051919,0.064138,0.001409,0.001724
116,0.004000,0.392027,0.680907,1.803932,0.430892,154.808627,145.065831,0.030490,0.040617,0.067744,0.071933,5.242183,6.360890,0.000262,0.000363,0.000628,0.000674,0.052388,0.063699,0.001414,0.001675
117,0.004000,0.391688,0.682262,1.766709,0.866020,162.446770,161.157028,0.030279,0.041772,0.067387,0.075391,5.232102,6.384034,0.000260,0.000375,0.000625,0.000711,0.052281,0.063923,0.001408,0.001725
118,0.004000,0.392540,0.682050,1.840188,2.636426,158.075475,144.290321,0.030618,0.043025,0.067342,0.077880,5.214516,6.199631,0.000263,0.000386,0.000624,0.000722,0.052104,0.062084,0.001408,0.001729
119,0.004000,0.392342,0.680629,1.753073,0.838481,156.874210,153.544471,0.030543,0.041126,0.067087,0.074614,5.228824,6.555499,0.000263,0.000368,0.000621,0.000697,0.052250,0.065642,0.001406,0.001722
120,0.004000,0.392757,0.680005,1.854869,1.800949,151.876144,151.385577,0.030629,0.040904,0.067549,0.076455,5.202168,6.412055,0.000263,0.000367,0.000626,0.000712,0.051986,0.064200,0.001409,0.001720
121,0.004000,0.392275,0.678824,1.771619,0.721249,154.154899,132.501120,0.030314,0.040198,0.066752,0.074783,5.156567,6.139588,0.000260,0.000359,0.000619,0.000701,0.051530,0.061483,0.001394,0.001675
122,0.004000,0.391780,0.680124,1.743289,2.056401,152.764662,154.557686,0.030209,0.043031,0.066650,0.076488,5.200225,6.479075,0.000259,0.000386,0.000617,0.000711,0.051965,0.064877,0.001396,0.001746
