Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
38,0.004000,0.399114,0.680024,2.092470,1.354772,212.290016,132.692572,0.044174,0.050327,0.090811,0.091716,7.107295,7.008802,0.000396,0.000458,0.000857,0.000865,0.071039,0.070174,0.001964,0.002024
39,0.004000,0.405837,0.686368,2.165199,3.721758,186.474988,168.147568,0.044095,0.052334,0.090484,0.097299,6.962110,7.383975,0.000395,0.000478,0.000852,0.000911,0.069582,0.073914,0.001943,0.002128
40,0.004000,0.403455,0.688640,2.047231,3.235475,213.109207,160.322630,0.043739,0.052179,0.089021,0.095910,7.074358,7.267366,0.000392,0.000477,0.000839,0.000895,0.070710,0.072736,0.001938,0.002099
41,0.004000,0.400301,0.686799,1.950797,2.132511,192.799838,178.686672,0.042824,0.050145,0.087313,0.091395,6.879104,7.340374,0.000383,0.000457,0.000821,0.000854,0.068751,0.073481,0.001892,0.002046
42,0.004000,0.402444,0.680338,2.232801,0.680957,179.726469,129.910138,0.042272,0.052350,0.087173,0.089492,6.706484,6.815226,0.000378,0.000478,0.000821,0.000844,0.067026,0.068229,0.001868,0.002004
43,0.004000,0.399845,0.686953,1.894361,1.020032,195.826874,164.313958,0.041789,0.053573,0.085906,0.088272,6.820802,6.878056,0.000373,0.000490,0.000807,0.000834,0.068170,0.068854,0.001862,0.002012
44,0.004000,0.399272,0.682589,2.109303,3.576608,176.241441,158.958846,0.041525,0.049931,0.086051,0.094364,6.670484,7.416849,0.000370,0.000454,0.000809,0.000882,0.066663,0.074253,0.001845,0.002078
45,0.004000,0.402901,0.689363,1.902926,4.003659,187.008078,178.335098,0.041459,0.049215,0.085112,0.093253,6.737741,7.278862,0.000370,0.000448,0.000800,0.000871,0.067344,0.072870,0.001843,0.002047
46,0.004000,0.404640,0.684005,2.210788,1.325199,212.756403,158.794951,0.041384,0.052152,0.085658,0.091166,6.782060,6.990500,0.000369,0.000476,0.000807,0.000860,0.067778,0.069984,0.001853,0.002036
47,0.004000,0.398320,0.687396,1.889698,2.067511,183.582049,173.007371,0.040549,0.052782,0.083334,0.090612,6.573184,7.188585,0.000361,0.000482,0.000781,0.000850,0.065693,0.071959,0.001799,0.002051
48,0.004000,0.403921,0.680767,2.230653,1.058618,186.926820,136.165216,0.040862,0.049962,0.084694,0.088704,6.617319,6.855978,0.000364,0.000454,0.000797,0.000835,0.066135,0.068636,0.001822,0.001975
49,0.004000,0.398575,0.680748,1.993198,0.547112,220.869865,153.808378,0.039790,0.048679,0.082627,0.084897,6.541936,6.984435,0.000353,0.000442,0.000776,0.000801,0.065389,0.069927,0.001783,0.001942
50,0.004000,0.399568,0.685339,2.049941,1.302384,170.398469,172.295901,0.039524,0.050228,0.081848,0.084176,6.433323,6.925033,0.000350,0.000457,0.000768,0.000791,0.064300,0.069331,0.001762,0.001942
51,0.004000,0.397736,0.679446,1.937576,1.055511,200.423146,157.752221,0.038985,0.047300,0.081378,0.085056,6.437937,6.907138,0.000345,0.000428,0.000761,0.000803,0.064352,0.069145,0.001750,0.001923
52,0.004000,0.399524,0.686882,1.877533,1.477819,178.729592,164.186664,0.039356,0.049760,0.081176,0.086657,6.428171,7.073320,0.000349,0.000452,0.000761,0.000812,0.064247,0.070806,0.001752,0.001972
53,0.004000,0.397214,0.681810,2.082089,1.500973,196.265393,167.885969,0.038871,0.047344,0.080478,0.087801,6.405374,7.330157,0.000344,0.000429,0.000755,0.000826,0.064020,0.073380,0.001739,0.001989
54,0.004000,0.401303,0.684793,2.101789,1.129666,308.703372,177.696811,0.039704,0.051428,0.082402,0.087392,6.686358,7.134384,0.000352,0.000469,0.000774,0.000823,0.066827,0.071417,0.001794,0.002006
55,0.004000,0.397918,0.686203,1.818172,3.841656,186.891557,172.948398,0.038624,0.048300,0.079036,0.087512,6.324708,6.980181,0.000342,0.000438,0.000738,0.000809,0.063212,0.069875,0.001712,0.001946
56,0.004000,0.399206,0.682142,2.069740,0.497281,203.261751,170.644654,0.038211,0.050004,0.079656,0.081139,6.374647,6.853552,0.000338,0.000454,0.000746,0.000765,0.063713,0.068610,0.001721,0.001905
57,0.004000,0.397990,0.690969,1.877094,3.896037,175.731987,154.327673,0.037932,0.052063,0.078707,0.088743,6.261231,6.723203,0.000335,0.000474,0.000737,0.000819,0.062578,0.067304,0.001697,0.001967
58,0.004000,0.395585,0.682474,2.088724,1.390139,173.405587,167.970317,0.037681,0.046559,0.078566,0.086960,6.176163,6.941569,0.000332,0.000421,0.000737,0.000817,0.061732,0.069493,0.001686,0.001933
59,0.004000,0.396353,0.686905,1.866677,2.794879,167.795806,150.735782,0.037267,0.049279,0.077136,0.088001,6.119360,7.134253,0.000328,0.000447,0.000721,0.000818,0.061161,0.071417,0.001661,0.001979
60,0.004000,0.395935,0.679955,1.949586,0.873338,179.758289,158.102947,0.037328,0.046022,0.078179,0.085259,6.217213,6.812956,0.000329,0.000415,0.000731,0.000804,0.062139,0.068208,0.001681,0.001901
61,0.004000,0.399364,0.687220,1.973867,1.160607,170.428900,180.720006,0.037383,0.049110,0.077349,0.083595,6.153679,7.134921,0.000329,0.000446,0.000724,0.000786,0.061506,0.071427,0.001669,0.001946
62,0.004000,0.397745,0.680463,1.998816,0.591711,180.296361,132.595072,0.036904,0.046490,0.077478,0.082270,6.160425,6.473232,0.000325,0.000420,0.000724,0.000777,0.061564,0.064823,0.001664,0.001845
63,0.004000,0.395837,0.678361,1.992001,1.649319,177.080540,152.858599,0.036728,0.046386,0.076295,0.084331,6.091127,6.642814,0.000323,0.000419,0.000714,0.000788,0.060877,0.066513,0.001645,0.001872
64,0.004000,0.397200,0.680289,1.971441,0.605749,171.971319,159.219465,0.036414,0.045839,0.076328,0.081459,6.086869,6.786664,0.000320,0.000414,0.000714,0.000768,0.060827,0.067935,0.001642,0.001861
65,0.004000,0.396600,0.681113,1.854836,0.711328,192.891814,145.131398,0.036388,0.047024,0.075811,0.086100,6.133463,6.764913,0.000320,0.000425,0.000707,0.000808,0.061307,0.067721,0.001640,0.001911
66,0.004000,0.399652,0.681933,1.905035,1.128556,175.398292,152.785148,0.036630,0.045419,0.076046,0.080442,6.066015,6.654200,0.000322,0.000410,0.000710,0.000756,0.060628,0.066616,0.001638,0.001831
67,0.004000,0.396919,0.680657,2.190928,0.857422,199.714846,176.889787,0.036366,0.046935,0.077421,0.080824,6.219995,6.738595,0.000319,0.000424,0.000726,0.000758,0.062161,0.067458,0.001667,0.001857
68,0.004000,0.397676,0.680468,2.074884,2.691712,1644.586723,143.699466,0.039551,0.045082,0.082224,0.081847,7.751497,6.381140,0.000351,0.000407,0.000772,0.000757,0.077473,0.063891,0.001898,0.001802
69,0.004000,0.412384,0.681638,1.846795,1.235031,241.465711,146.656554,0.036785,0.046786,0.075295,0.078705,6.112269,6.467999,0.000324,0.000423,0.000703,0.000738,0.061089,0.064753,0.001637,0.001808
70,0.004000,0.395064,0.682007,1.848403,1.722838,171.813708,140.017242,0.034813,0.045422,0.072333,0.082495,5.800051,6.665249,0.000304,0.000410,0.000674,0.000770,0.057968,0.066725,0.001558,0.001848
71,0.004000,0.394807,0.680048,1.852025,1.202127,188.507098,159.339266,0.035390,0.044458,0.073565,0.080190,5.934336,6.573212,0.000310,0.000400,0.000686,0.000751,0.059313,0.065804,0.001589,0.001809
72,0.004000,0.393945,0.679510,2.102551,1.868702,158.783154,136.997072,0.035326,0.045153,0.074433,0.084808,5.848732,6.837018,0.000309,0.000407,0.000695,0.000793,0.058451,0.068446,0.001588,0.001884
73,0.004000,0.395012,0.684319,1.883741,0.713892,168.205478,194.534853,0.035097,0.045417,0.073402,0.079330,5.878888,6.938897,0.000307,0.000410,0.000685,0.000744,0.058749,0.069463,0.001579,0.001849
74,0.004000,0.396113,0.677971,1.876132,0.668248,186.597210,148.905021,0.035461,0.045697,0.074093,0.079160,6.042152,6.535572,0.000311,0.000412,0.000690,0.000746,0.060387,0.065439,0.001605,0.001813
75,0.004000,2.602112,0.681438,13.382947,3.065939,7998.401154,153.987079,0.049810,0.044617,0.098518,0.081308,14.614695,6.599433,0.000453,0.000402,0.000926,0.000752,0.146085,0.066080,0.002840,0.001815
76,0.004000,0.392827,0.678945,1.810237,0.496214,152.610492,141.574416,0.034370,0.042635,0.070917,0.076386,5.562061,6.501789,0.000300,0.000384,0.000659,0.000717,0.055582,0.065096,0.001515,0.001751
77,0.004000,0.394794,0.679177,1.792844,3.141002,159.578930,148.644448,0.034485,0.043266,0.071071,0.084686,5.623711,6.584254,0.000301,0.000389,0.000661,0.000783,0.056197,0.065922,0.001524,0.001831
78,0.004000,0.394440,0.678728,1.862513,0.578400,167.991029,141.234663,0.034501,0.043724,0.071825,0.077760,5.772665,6.488696,0.000301,0.000393,0.000669,0.000728,0.057684,0.064966,0.001547,0.001771
79,0.004000,0.391923,0.680737,1.815216,2.039288,161.285480,150.673774,0.034242,0.043663,0.071993,0.080466,5.700968,6.371451,0.000299,0.000393,0.000670,0.000746,0.056973,0.063797,0.001539,0.001777
80,0.004000,0.394309,0.678742,1.860358,0.757439,188.245581,152.192696,0.034576,0.043523,0.072812,0.078663,5.888186,6.547111,0.000302,0.000391,0.000678,0.000736,0.058840,0.065550,0.001568,0.001783
81,0.004000,0.393673,0.681062,1.804068,2.216582,171.187541,153.416415,0.034616,0.043476,0.072503,0.083735,5.850391,6.828789,0.000302,0.000391,0.000675,0.000781,0.058469,0.068364,0.001562,0.001855
82,0.004000,0.396468,0.681009,2.258456,2.335704,175.792257,155.221378,0.035286,0.042972,0.074192,0.080947,5.931511,6.834780,0.000309,0.000387,0.000694,0.000753,0.059280,0.068426,0.001595,0.001824
83,0.004000,0.394527,0.679897,1.888574,0.930064,176.267020,154.669037,0.034085,0.043681,0.071608,0.078650,5.794754,6.533171,0.000297,0.000393,0.000666,0.000736,0.057907,0.065399,0.001543,0.001783
84,0.004000,0.394214,0.677808,1.944400,0.741222,162.043300,144.657723,0.034039,0.044248,0.071810,0.079552,5.729894,6.423484,0.000297,0.000398,0.000669,0.000745,0.057262,0.064312,0.001538,0.001786
85,0.004000,0.394258,0.679574,1.861396,0.721850,181.814318,164.193221,0.034551,0.044907,0.072366,0.080856,5.887439,6.904905,0.000302,0.000404,0.000674,0.000762,0.058835,0.069118,0.001564,0.001857
86,0.004000,16.472821,0.710904,18.476223,1.658964,79253.084688,188.957437,0.137032,0.105574,0.184109,0.177632,80.366745,13.914894,0.001324,0.001008,0.001756,0.001707,0.803490,0.139230,0.011115,0.004107
87,0.004000,0.422696,0.691520,1.856507,0.892398,219.617079,148.837574,0.081854,0.075957,0.152865,0.131539,11.943560,9.737906,0.000771,0.000713,0.001467,0.001258,0.119394,0.097478,0.003432,0.002946
88,0.004000,0.403739,0.685924,1.778523,2.637020,169.699457,157.281527,0.058803,0.058941,0.116513,0.106491,8.489625,7.815259,0.000541,0.000544,0.001111,0.001003,0.084854,0.078258,0.002500,0.002330
89,0.004000,0.395253,0.680996,1.785375,2.394100,155.839842,150.303027,0.044103,0.050122,0.089224,0.087693,6.679504,6.695030,0.000396,0.000456,0.000841,0.000817,0.066752,0.067035,0.001904,0.001943
90,0.004000,0.393251,0.677603,1.853970,1.444991,159.793611,150.537549,0.036951,0.044401,0.075735,0.080914,5.891016,6.534240,0.000325,0.000400,0.000708,0.000757,0.058873,0.065418,0.001622,0.001811
91,0.004000,0.392128,0.681294,1.776714,0.605473,159.293156,157.307374,0.035146,0.044083,0.072515,0.077756,5.715079,6.685602,0.000307,0.000397,0.000675,0.000729,0.057114,0.066935,0.001553,0.001796
92,0.004000,0.393930,0.680907,1.951556,0.606211,171.387425,180.674432,0.035664,0.043784,0.074449,0.077232,5.912916,6.970709,0.000313,0.000394,0.000695,0.000724,0.059090,0.069773,0.001598,0.001815
93,0.004000,8.171158,0.688735,15.271702,0.691430,49965.938632,158.429725,0.084149,0.068368,0.136513,0.126627,45.213721,10.135370,0.000795,0.000637,0.001281,0.001210,0.452027,0.101434,0.006596,0.002861
94,0.004000,0.402447,0.683026,1.874816,0.578677,427.614131,166.402265,0.051419,0.053907,0.108797,0.095335,8.734646,7.798805,0.000468,0.000494,0.001033,0.000902,0.087304,0.078088,0.002374,0.002177
95,0.004000,1.564803,0.680750,3.018174,1.200137,6473.010710,137.628416,0.059586,0.054494,0.109313,0.095688,13.014845,7.723299,0.000550,0.000500,0.001036,0.000901,0.130098,0.077328,0.002887,0.002174
96,0.004000,0.394803,0.680098,1.907923,1.553826,168.285546,145.856829,0.040921,0.048156,0.083814,0.083316,6.526779,6.628517,0.000364,0.000436,0.000788,0.000777,0.065226,0.066375,0.001804,0.001877
97,0.004000,0.394656,0.676837,1.941940,1.282638,173.329861,138.192364,0.036627,0.044321,0.075539,0.079678,5.966767,6.636789,0.000322,0.000399,0.000706,0.000743,0.059630,0.066448,0.001625,0.001807
98,0.004000,0.392023,0.683290,1.793954,0.917351,171.076714,159.063609,0.035538,0.045453,0.073107,0.079057,5.906394,6.823382,0.000311,0.000410,0.000681,0.000740,0.059023,0.068319,0.001582,0.001833
99,0.004000,0.393178,0.680200,1.831681,0.743008,173.885917,142.855963,0.035271,0.043791,0.072996,0.077924,5.860177,6.329972,0.000309,0.000394,0.000681,0.000728,0.058561,0.063380,0.001575,0.001756
100,0.004000,0.396806,0.679559,1.983265,0.849963,175.574878,161.836542,0.035896,0.043719,0.075629,0.080096,6.108500,6.667183,0.000315,0.000393,0.000707,0.000749,0.061054,0.066742,0.001632,0.001809
101,0.004000,0.394375,0.678858,1.997281,1.881532,168.566540,146.807195,0.034950,0.043302,0.072848,0.080920,5.803049,6.619801,0.000306,0.000389,0.000679,0.000755,0.057989,0.066277,0.001564,0.001807
