stct_id,atom_id,atomic_numbers,atomic_energy,pos_x,pos_y,pos_z,force_of_atoms_x,force_of_atoms_y,force_of_atoms_z,inferred_force_x,inferred_force_y,inferred_force_z
0,97,8,-7.826399,9.809328,3.724332,3.1303654,0.0,0.0,0.0,0.14064685,-0.19783047,0.21596375
0,98,8,-7.874348,14.722689,2.5484807,2.744062,0.0,0.0,0.0,-0.42579216,0.05027667,0.03878548
0,99,8,-7.8273077,7.1339087,5.7311726,10.255147,0.0,0.0,0.0,-0.074638255,0.1161298,0.11243868
0,100,8,-7.90741,15.994533,1.1699513,0.8545465,0.0,0.0,0.0,-0.15062952,-0.0110467,0.058620926
0,101,8,-7.877067,15.953492,3.6432521,5.4648156,0.0,0.0,0.0,0.07000193,0.29624733,-0.071176805
0,102,8,-7.783524,14.422007,5.699285,1.301991,0.0,0.0,0.0,-0.086654715,0.18355644,-0.14743194
0,103,8,-7.839648,11.414881,5.8214846,7.789248,0.0,0.0,0.0,0.16416629,0.4295974,-0.032042515
0,104,8,-7.8314185,15.881984,6.2395597,6.1946898,0.0,0.0,0.0,0.121375844,-0.0702394,-0.304915
0,105,8,-7.8431716,11.186461,3.2384884,6.7769113,0.0,0.0,0.0,0.03928679,0.049522147,0.07176113
0,106,8,-7.796831,8.187368,7.767015,6.3180413,0.0,0.0,0.0,-0.28817737,-0.11945628,-0.046299063
0,107,8,-7.7920365,8.04797,5.381922,1.8930838,0.0,0.0,0.0,0.06732668,0.13481027,-0.26565924
0,108,8,-7.8098183,11.286302,3.705009,9.72119,0.0,0.0,0.0,-0.17519191,0.22869161,0.15037537
0,109,8,-7.8304768,10.23913,8.315431,7.645556,0.0,0.0,0.0,-0.32012904,0.08898957,-0.16331868
0,110,8,-7.827714,16.1185,3.8300166,0.8636582,0.0,0.0,0.0,0.08681007,-0.15572168,-0.04928641
0,111,8,-7.8226666,12.794568,8.056793,0.8008911,0.0,0.0,0.0,0.33369583,-0.01201582,0.07018052
0,112,8,-7.8196697,15.274941,2.6127453,7.625881,0.0,0.0,0.0,0.06978392,-0.10246061,0.13648552
0,113,8,-7.847762,14.578606,7.1015863,9.810507,0.0,0.0,0.0,0.08218111,-0.22944486,0.07239326
0,114,8,-7.85467,14.034494,3.6672645,9.952278,0.0,0.0,0.0,-0.21912254,0.042639963,-0.2705039
0,115,8,-7.776181,8.648402,2.4225283,5.1129293,0.0,0.0,0.0,0.106653675,-0.12535328,-0.030068412
0,116,8,-7.857512,12.757331,3.550484,1.169342,0.0,0.0,0.0,-0.15125696,-0.06971365,-0.19999893
